age,income,score,balance,region,label
50.5,27028.62,0.5931,-1560.77,north,0
64.7,93194.54,-1.2334,12424.93,west,0
58.3,64945.30,1.0722,-678.72,north,1
29.7,88372.51,1.1734,-1645.94,north,1
33.6,64199.27,-1.5699,-1247.33,north,1
63.4,86119.00,-0.5574,1615.07,east,1
18.3,49185.58,-0.4690,3340.09,west,1
60.7,68807.52,-0.6490,-645.65,north,1
59.4,87476.66,1.3818,4523.20,north,1
42.3,78086.89,2.1648,7596.91,south,1
33.8,51845.11,-1.0660,2765.94,south,0
32.5,75861.67,1.0486,5487.04,south,1
31.3,48207.13,-0.2629,6997.79,south,0
41.1,34693.81,1.3701,10390.06,south,0
44.2,69291.75,-2.4502,4852.11,east,0
46.8,84855.83,-0.4351,7306.50,west,1
69.8,75095.34,1.2157,6681.52,east,1
59.2,37635.84,-0.7618,5279.09,north,0
50.4,75455.16,1.1896,4079.38,east,1
69.4,72082.96,-0.5129,6221.16,east,0
29.2,51815.73,,7227.58,north,1
26.3,15742.59,0.5827,1097.36,east,0
49.9,78080.59,-0.4221,3978.24,south,1
20.3,75790.58,-0.7652,6148.73,north,1
19.9,68859.71,-0.1714,6024.22,west,1
44.8,29141.87,1.1577,6125.33,east,0
42.2,33438.54,-0.0092,10103.26,east,0
65.7,78052.96,-0.6671,8318.01,west,1
50.7,74323.62,3.3204,1279.93,west,1
44.7,68821.32,-1.5808,9945.10,east,0
43.8,55594.18,-0.2297,2960.35,south,0
30.9,67033.89,,2575.13,north,1
18.6,,-1.0489,8407.75,north,0
28.0,54418.18,-0.0150,4102.27,east,1
54.0,44504.33,-0.4245,-58.62,north,0
28.4,64609.63,-1.4853,6999.95,south,0
37.2,52521.97,0.4523,6475.12,east,0
18.2,77024.83,,6747.19,east,1
61.2,72880.46,-0.7577,795.95,south,0
26.0,45465.66,1.2304,7556.65,east,0
31.9,92872.99,-1.1237,3202.86,north,1
63.8,39907.44,0.6004,7852.67,south,0
44.5,68060.48,1.1797,1285.88,west,1
62.1,79402.59,0.9902,2148.77,west,1
51.3,82954.11,0.4649,-932.08,south,1
56.6,20455.57,-0.2395,2706.07,south,0
22.8,77942.42,-1.4091,8346.28,west,1
46.1,81869.02,0.1393,5807.01,east,0
44.4,85798.36,0.4396,3345.86,south,1
63.3,20096.31,-0.5163,9280.40,east,0
36.8,47860.46,-0.9935,5720.00,west,0
49.1,58227.31,0.8626,7441.35,east,1
21.1,51996.90,-1.0628,6117.26,west,0
38.2,84070.17,0.4348,4768.94,north,1
34.8,47811.54,-0.4894,5500.47,west,0
25.8,82063.93,-1.6953,6416.90,south,1
60.4,70082.53,1.6072,8548.11,east,1
37.7,33875.18,0.6024,6926.54,south,0
68.9,42178.05,0.5334,7787.58,south,0
48.7,51568.60,-1.4269,1667.64,east,0
49.5,61738.95,-0.1393,-688.12,south,0
51.2,77856.75,0.2682,6042.81,east,1
53.2,56717.45,-0.7596,5545.98,south,0
25.8,76349.49,1.6385,6416.94,south,1
40.9,31684.72,-2.0376,1986.64,north,0
30.5,8000.00,0.6892,5502.11,west,0
38.9,53934.81,-1.9095,1808.01,north,1
23.0,68251.20,-1.5871,5324.13,west,1
68.3,53499.08,-1.3027,4833.80,south,0
29.2,,0.5501,4523.77,north,0
52.9,67601.75,-0.7385,6010.27,south,0
33.6,94793.02,-0.6978,3528.59,west,1
63.5,58138.70,-0.9357,4991.04,west,0
52.4,46931.84,-1.5100,7197.93,east,0
24.8,44782.10,-0.9300,9687.75,east,0
61.9,95388.34,-1.0198,6304.88,east,1
67.1,59274.35,-0.3562,7561.44,north,0
65.0,71019.12,-0.4172,6844.36,east,1
47.6,81960.12,-2.4434,10166.82,north,1
25.6,79389.21,-0.6904,11479.45,west,0
28.0,43404.84,1.1701,3103.14,south,0
66.3,77208.55,-0.5210,7179.03,north,1
46.7,75189.06,-0.1244,5982.64,west,1
27.4,68806.31,-0.7767,9913.13,east,0
64.0,78173.06,-0.7446,-2437.08,north,1
51.4,49897.08,-0.1344,3082.04,west,0
47.6,58662.02,-1.4147,-258.50,west,1
37.6,50555.29,-0.2331,9284.98,west,0
39.4,73649.61,-1.7359,5915.89,east,1
30.5,48244.44,0.2639,7100.99,south,0
20.0,67079.99,-1.6498,6324.00,west,0
63.6,40307.59,0.5784,5926.93,east,1
42.3,57804.03,0.9366,6324.54,west,1
46.5,53487.19,-1.7045,3789.10,west,0
34.8,57943.98,0.5947,-1193.18,east,0
57.1,62392.26,-0.4916,6064.29,west,0
19.3,56690.36,1.0791,4877.67,east,1
37.4,56049.69,-0.6191,3327.65,west,0
19.6,22735.31,-0.3720,3204.43,west,0
24.4,79895.09,-0.3823,9069.94,south,1
68.3,48781.27,1.1672,2790.60,west,0
52.2,55594.57,-2.0305,1819.92,north,0
40.3,45107.93,0.6725,7089.05,north,1
45.2,77985.73,-0.0021,9549.84,south,0
63.4,43722.46,-0.5854,1091.26,east,0
35.9,69077.82,-0.3351,2020.75,west,1
48.7,81209.53,0.8370,1832.84,east,1
53.6,89619.05,0.7274,6226.49,east,1
36.5,81387.77,1.5972,6765.48,east,1
45.0,71152.15,-0.7415,9374.99,west,0
57.8,38452.09,-1.9928,4881.30,west,0
65.3,,-0.6539,4288.17,east,1
25.9,81396.74,-0.2949,3206.08,south,1
66.5,75103.88,-0.5402,8504.99,west,0
18.3,74478.76,1.1204,3216.57,south,1
57.2,61427.15,2.1782,2504.77,east,1
60.1,50797.44,0.2779,4341.17,east,0
25.1,79503.16,-1.8871,4957.11,east,1
39.8,82968.00,0.9368,6261.27,north,1
60.4,41423.76,-0.7484,3113.50,east,0
18.7,76526.84,-0.0608,10392.43,west,1
50.7,64534.28,0.7365,10911.83,south,1
59.2,76053.47,0.2638,1594.08,west,1
44.7,65069.93,-0.1725,5474.65,west,1
55.7,80108.82,0.1823,1949.06,east,1
29.8,78570.87,0.6538,4179.23,west,1
28.3,76103.63,0.5228,1258.36,south,1
36.9,35450.75,1.9666,4165.89,west,0
27.3,74979.78,-3.1011,5860.06,east,1
36.0,61109.13,-0.8887,5551.69,south,1
67.3,40030.61,-0.6915,919.12,east,0
47.8,72915.68,0.7186,-1109.70,north,1
35.7,35728.50,0.1152,-637.97,west,0
32.1,76296.91,0.7450,8765.11,east,1
67.5,90619.81,-1.5339,4478.69,west,1
41.1,51274.40,-0.3259,5249.80,east,0
69.0,76763.10,0.5383,9480.19,east,1
44.8,68381.45,-0.1587,1961.67,north,1
45.1,71957.82,-0.5068,6304.42,east,1
64.6,36132.72,0.1657,2961.91,west,0
56.6,71238.67,1.5409,5605.21,north,1
48.2,62741.97,-2.2160,-737.37,north,0
40.2,73583.46,1.4809,3792.62,south,1
63.7,60523.58,0.1709,4804.30,south,0
39.4,79968.94,-0.9641,5357.71,east,1
66.0,65294.81,0.5508,627.41,south,1
21.6,72544.46,-0.0672,4264.65,west,1
40.4,84867.99,1.1009,7734.53,north,1
45.0,63683.77,-0.9135,4739.97,east,0
67.4,78185.06,0.8594,7645.13,south,1
31.1,64510.32,-1.0142,7047.52,east,0
59.9,69777.19,0.2113,5767.87,west,1
53.2,51082.09,0.5879,3891.25,south,1
55.3,74305.21,-0.1893,5252.88,west,1
50.7,82349.55,0.5328,2160.74,south,1
68.5,59045.84,-0.7038,7058.98,north,0
35.3,74649.98,0.9544,6013.84,north,1
38.7,68149.35,-0.6109,8663.32,west,0
28.6,40858.06,-0.8117,11929.41,north,0
20.6,66812.84,-0.2237,7618.83,west,0
29.1,84003.11,-0.1591,6760.69,south,1
65.6,51914.40,-0.9456,5609.28,south,0
61.7,28891.86,0.6897,7633.00,west,0
23.8,64197.83,-0.2308,9256.06,south,1
49.4,49145.45,0.4983,4161.29,east,1
42.9,94272.27,,1137.98,west,1
48.9,59854.92,-1.4218,846.50,west,0
52.3,60502.44,-0.3729,8079.77,west,0
33.9,49436.26,-1.0993,6455.44,west,0
68.0,65029.04,-0.2396,6669.30,east,0
42.2,50599.73,0.4538,-130.30,north,1
50.7,44611.25,1.0079,3295.66,north,1
51.0,59503.49,1.3628,246.47,north,1
27.6,46254.00,0.6793,1512.21,west,1
21.2,83967.45,-0.8131,3275.47,west,1
39.4,39965.56,0.4436,2919.15,west,0
57.7,59322.20,-0.6298,9881.50,west,0
60.4,48437.42,0.4357,1123.01,north,1
56.0,36202.89,,3114.78,east,0
23.9,90036.37,1.2392,2715.13,south,1
65.5,23452.68,0.3081,5242.18,north,1
59.7,86339.77,-0.3916,7261.09,east,1
63.6,35670.96,-1.4655,2554.05,west,1
45.2,62225.56,0.1762,-103.43,south,1
65.6,100625.07,-0.6309,3703.40,west,1
20.4,23033.24,0.1465,6239.15,west,0
19.6,36388.55,-0.8169,1678.67,south,0
19.1,83806.26,-0.6472,7998.94,west,1
31.1,63691.06,0.5170,1887.08,north,1
30.9,50987.43,1.3743,3034.25,north,1
27.8,60069.15,-1.3686,3628.43,north,1
47.5,43602.34,-0.2983,10888.01,north,0
20.0,62795.08,0.2868,7416.40,west,0
48.7,87011.98,-0.2572,6100.84,south,1
26.6,53882.63,-0.5426,1907.97,south,0
53.2,63091.73,2.0612,1585.08,west,1
19.1,81872.30,-0.9430,2864.33,west,1
34.1,95714.35,0.2578,9928.29,west,1
66.8,50260.24,-0.5909,9016.84,east,0
46.0,65941.95,-0.1991,5460.15,east,0
60.2,50706.75,-2.3882,2845.55,north,0
52.2,49265.02,0.7845,-399.73,east,1
49.8,53576.59,-0.3130,3613.53,west,0
27.9,49477.55,-1.0678,6611.73,west,0
47.9,30102.65,1.5610,6721.82,east,0
20.1,25529.34,-0.3788,6213.49,west,0
59.7,47747.45,-0.7150,2850.79,north,0
67.9,62967.22,-0.9474,6580.15,west,0
62.4,82060.83,,4521.73,east,1
20.6,51282.96,-0.0722,7707.59,west,0
35.6,57686.01,,5791.93,west,0
34.5,72290.32,-1.4255,7383.11,south,0
23.9,73691.09,-1.0043,6034.26,north,1
50.6,58614.95,0.2439,3562.77,east,1
59.5,59697.64,-0.1224,8628.22,east,1
34.3,93663.61,-2.1140,1827.61,south,1
62.9,54738.67,-0.9751,7069.17,west,0
59.5,51997.73,0.1256,3658.98,west,1
24.7,31965.39,2.5821,3890.31,south,0
57.9,,-0.8542,5850.92,south,0
63.9,55987.85,-2.3243,3418.30,south,0
28.3,94299.34,0.6648,1887.20,west,1
47.8,54733.19,-0.5808,2175.25,east,0
51.2,74949.48,-1.4223,1565.18,south,0
49.7,77083.75,0.4621,5098.39,west,1
23.0,,-0.3335,5982.87,south,1
52.4,37542.74,-1.0648,4757.29,west,0
50.9,88220.45,-1.4130,256.52,north,1
60.8,60870.13,-0.2243,5426.08,north,0
59.8,58796.86,-0.0146,7912.79,east,1
35.0,55168.34,-1.8792,1529.27,south,1
55.5,53677.53,0.8842,2261.22,north,0
63.1,54572.82,-1.3702,7816.80,west,0
64.4,19531.96,1.2997,4502.14,south,0
26.4,69622.40,0.2306,8321.62,west,1
19.4,61736.32,-0.2877,3990.46,east,0
51.8,43888.75,0.2346,632.01,south,0
29.2,59510.19,-0.6940,4896.32,south,0
47.3,101100.69,-0.1665,4854.18,west,1
67.1,67327.44,1.5459,5919.84,east,1
37.7,53805.04,-0.6723,2423.70,north,0
31.1,90735.08,0.7161,3610.04,west,1
41.7,46624.41,,11240.15,north,0
52.2,57923.61,-0.1202,3318.54,east,0
23.3,50896.16,0.8632,9861.40,east,0
37.8,56462.70,-1.3024,1582.24,east,0
25.0,73489.74,0.2350,5721.12,north,1
52.4,70832.35,-2.2510,6156.64,south,1
61.2,47767.10,-1.2476,7683.41,west,0
37.6,58346.60,-0.5190,5007.72,west,1
37.3,62114.51,0.7818,3042.34,south,0
46.1,53431.23,0.6162,5343.34,south,0
29.2,59969.31,-1.0150,499.56,south,1
30.9,47936.95,-0.2321,-2597.14,east,0
35.2,47690.21,0.0853,306.00,north,1
41.8,61381.54,-1.6647,9814.35,north,0
22.2,42467.32,0.3227,7571.90,north,0
57.1,67935.79,1.2500,10657.33,north,1
48.1,57190.43,1.1429,6526.94,east,1
33.6,44411.50,-0.6918,547.98,west,0
22.0,49830.42,-0.5088,1995.42,south,0
57.7,52188.28,-1.0365,5973.25,south,0
24.8,57767.44,-0.5961,2478.96,west,0
24.9,62569.34,-0.3504,2124.60,east,1
24.8,56910.44,0.5812,1715.21,north,1
22.2,45347.27,-0.0181,2695.59,south,1
65.1,85657.32,-1.0289,-793.86,east,1
32.0,76417.81,0.7191,6307.21,west,1
33.9,62499.79,0.7802,2821.22,east,1
61.3,77222.11,-0.7110,8865.81,west,0
50.2,66282.14,-0.3472,10060.45,west,0
27.7,56026.64,-0.2027,4808.32,south,0
40.6,62045.71,-1.7444,8201.61,south,0
64.0,107186.56,0.0352,8365.68,west,1
37.5,77916.98,0.5725,5652.62,south,1
55.0,78774.84,1.8473,4475.58,east,1
23.0,53645.45,0.0924,8914.56,west,0
55.8,71041.61,-0.3847,7028.97,west,1
58.4,100032.06,-0.2471,4466.17,south,1
60.9,68001.75,0.5122,3490.87,east,1
53.1,79299.97,0.6975,5028.50,north,1
37.3,82520.32,-0.9575,7866.41,south,0
21.3,71784.93,0.0939,7110.51,east,1
45.0,88068.75,0.5554,3221.22,north,1
57.4,64556.12,-2.1062,4557.98,north,1
27.9,69216.17,1.2736,5520.79,north,1
31.8,49565.45,-0.3112,3772.03,north,1
45.9,106624.83,,4754.58,west,1
56.9,65840.98,-0.1431,2053.92,east,1
64.6,62460.20,-0.3425,2568.14,south,0
24.5,84777.77,-0.1719,5891.93,south,1
27.6,52017.26,0.1914,5742.32,east,1
59.6,60428.09,0.7731,4096.84,south,1
51.5,46871.08,-0.3597,11590.50,north,0
55.5,60900.79,-1.2158,4508.45,west,0
69.8,53738.43,-0.7940,7142.81,north,0
66.8,69975.94,-1.0713,5868.49,east,0
61.8,58298.52,0.6655,3593.25,west,1
58.4,50070.20,-1.0525,7097.36,west,0
38.5,55375.12,1.4264,8350.72,west,1
51.3,58429.26,0.0370,5065.92,north,1
27.6,51574.37,-0.1813,6544.86,north,1
57.5,76841.30,1.2132,13617.38,east,1
57.4,72216.11,-0.4591,2359.45,west,0
55.5,63032.74,-0.3870,4417.12,south,0
41.1,39771.62,0.6882,6763.05,south,0
37.7,69505.13,0.6488,5041.91,north,1
39.8,38234.53,-1.0877,2574.49,south,0
19.7,63720.29,2.3679,3578.21,north,0
61.9,61321.13,0.4786,4340.81,north,0
46.2,50227.54,-1.3437,4219.54,south,0
38.2,46046.50,-0.2629,5202.09,south,0
46.5,48389.65,0.8378,9832.39,east,0
55.5,96225.79,0.1322,5726.54,east,1
37.8,55866.49,0.7697,3911.52,north,1
61.2,56887.59,2.2795,7132.08,south,0
65.8,77174.48,0.8453,6995.14,east,1
38.1,67778.16,1.9230,1830.09,south,1
25.2,78880.37,0.5967,3214.67,south,1
57.5,39148.88,-0.7480,1753.56,south,0
69.6,41553.18,1.4294,6054.34,north,1
25.7,118379.04,-0.7809,7642.70,north,1
55.1,59753.74,0.8773,4385.66,west,1
60.9,55448.53,0.5751,8772.85,east,1
65.9,63282.31,-0.9236,3330.83,west,0
24.4,77710.43,-0.7799,4094.06,north,0
22.8,39813.41,-0.2503,4850.89,south,0
69.4,65403.07,0.3285,5608.17,south,0
24.1,59986.23,1.2618,10047.84,north,1
27.2,72173.21,0.0068,1716.65,east,1
47.9,63491.10,1.8347,6749.96,south,1
41.2,51255.07,0.8099,5294.91,south,1
57.0,45434.93,-0.7025,8605.91,east,0
27.9,18188.08,-0.6784,1048.69,west,0
65.6,77474.64,0.0270,1580.88,west,1
29.3,34980.42,-0.5765,10186.16,south,0
58.0,53476.20,-0.1444,8844.55,north,0
21.5,89322.98,0.7230,8305.21,south,1
42.6,53220.04,0.2099,4696.42,north,1
19.7,71084.67,0.9254,8253.48,west,0
34.3,56815.82,-0.7373,5099.09,east,0
34.2,72591.91,-0.9099,1800.91,east,0
55.4,60981.93,-1.4452,4653.32,west,0
41.7,51648.29,-1.8266,4267.07,north,0
21.0,83884.77,-0.4913,1946.36,west,1
69.8,55863.08,0.0258,3340.95,north,1
64.2,37274.21,-0.2410,2976.05,east,0
65.6,54775.62,-0.0339,6627.75,east,0
30.8,69808.51,2.0049,7982.88,south,0
38.5,41181.32,-1.1290,8411.53,west,0
29.8,74091.57,-0.3066,8352.99,north,1
24.5,73730.53,-0.5250,1858.10,north,1
19.7,97213.45,-0.9441,6781.07,west,1
44.2,49361.84,1.3174,7500.93,east,0
24.4,71919.53,-0.0663,6299.48,west,1
27.2,31563.89,1.2190,2231.72,south,0
62.7,53221.96,-1.1605,-3678.12,east,0
43.2,62280.88,1.8441,5530.33,east,1
27.6,67517.54,2.2341,2566.87,south,0
52.8,59512.26,-0.9018,7748.50,south,0
31.8,58892.18,-0.0401,632.24,south,0
45.4,49859.69,-0.1586,6693.83,west,0
32.7,52758.15,0.5303,3752.32,west,1
44.8,65750.26,,1068.85,south,0
50.7,70129.82,0.4401,3698.60,west,1
45.9,71529.86,0.6999,4596.46,north,1
38.6,77673.03,-0.6265,7546.03,south,1
59.1,81007.56,-2.2905,7448.50,east,1
63.4,29311.45,-0.7060,8765.10,west,0
27.3,51437.91,-0.4204,7317.63,east,0
25.1,57668.73,0.7393,3676.37,north,1
23.9,49333.87,-0.6436,3731.51,south,0
68.9,78548.77,-1.1743,5526.23,west,0
